description,amount,category
"Пятёрочка покупка продуктов", -1450.30,Еда
"Перекрёсток супермаркет", -2380.10,Еда
"Delivery Club доставка", -890.00,Еда
"Яндекс.Такси поездка", -450.50,Такси
"Uber поездка", -620.00,Такси
"Метро пополнение карты", 5000.00,Пополнения
"Кинотеатр Формула Кино", -1200.00,Развлечения
"Spotify Subscription", -299.00,Подписки
"Netflix Subscription", -999.00,Подписки
"Apple Music", -169.00,Подписки
"Перевод Иванову", -3000.00,Переводы
"Снятие наличных банкомат", -7000.00,Прочее
"Оплата ЖКХ Мосэнергосбыт", -2100.00,Прочее
"Самокат доставка", -560.40,Еда
"Яндекс Плюс", -299.00,Подписки
"Steam покупка игры", -1499.00,Развлечения
"Wildberries покупка одежды", -3200.00,Прочее
"Aeroflot билет", -12500.00,Путешествия
"Booking.com бронь", -8700.00,Путешествия
"Яндекс.Лавка продукты", -980.90,Еда

